period,source_url,sha256,compressed_bytes,member_name,uncompressed_bytes,encoding,delimiter,header_line_number,metadata_line_count,columns,row_count,malformed_row_count,document_count,institution_count,account_count,declared_period_count,declared_periods,period_matches,source_generated_at
202501,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202501BANCOS.csv.zip,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,913280,202501BANCOS.CSV,6222449,cp1252,;,4,3,DATA_BASE|DOCUMENTO|CNPJ|AGENCIA|NOME_INSTITUICAO|COD_CONGL|NOME_CONGL|TAXONOMIA|CONTA|NOME_CONTA|SALDO,50236,0,1,174,981,1,202501,True,2025-11-21
202502,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202502BANCOS.csv.zip,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,929227,202502BANCOS.CSV,6278983,cp1252,;,4,3,DATA_BASE|DOCUMENTO|CNPJ|AGENCIA|NOME_INSTITUICAO|COD_CONGL|NOME_CONGL|TAXONOMIA|CONTA|NOME_CONTA|SALDO,50664,0,1,174,980,1,202502,True,2025-11-21
202503,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202503BANCOS.csv.zip,489ce381f2313fdda5e849eb05bf362a18ae6cf7698e855a36396c76a3f3e444,941499,202503BANCOS.CSV,6339957,cp1252,;,4,3,DATA_BASE|DOCUMENTO|CNPJ|AGENCIA|NOME_INSTITUICAO|COD_CONGL|NOME_CONGL|TAXONOMIA|CONTA|NOME_CONTA|SALDO,51131,0,1,174,987,1,202503,True,2025-11-21
202504,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202504BANCOS.csv.zip,a90f3cee41713ec1aa6dde69e9cadb106226ca1aa940d839f73e8dc17fd4d1a1,956580,202504BANCOS.CSV,6417402,cp1252,;,4,3,DATA_BASE|DOCUMENTO|CNPJ|AGENCIA|NOME_INSTITUICAO|COD_CONGL|NOME_CONGL|TAXONOMIA|CONTA|NOME_CONTA|SALDO,51563,0,1,175,991,1,202504,True,2026-05-29
202505,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202505BANCOS.csv.zip,ddff153357d66cad7f1fe2292b1c2bf3ce6e5330b12b37242b7ef3c5ecee9494,961409,202505BANCOS.CSV,6445186,cp1252,;,4,3,DATA_BASE|DOCUMENTO|CNPJ|AGENCIA|NOME_INSTITUICAO|COD_CONGL|NOME_CONGL|TAXONOMIA|CONTA|NOME_CONTA|SALDO,51760,0,1,175,993,1,202505,True,2026-05-29
202506,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202506BANCOS.csv.zip,8e19913e741e6805e716b312f57ec772dc822b58f624b08f5423aa992e5c2614,1553848,202506BANCOS.CSV,11027493,cp1252,;,4,3,DATA_BASE|DOCUMENTO|CNPJ|AGENCIA|NOME_INSTITUICAO|COD_CONGL|NOME_CONGL|TAXONOMIA|CONTA|NOME_CONTA|SALDO,88650,0,2,176,993,1,202506,True,2026-05-29
202507,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202507BANCOS.csv.zip,d6c4b063a940d729600d3d71fe4be502e63543fc798195102c2de8ec23350106,920762,202507BANCOS.CSV,6240858,cp1252,;,4,3,DATA_BASE|DOCUMENTO|CNPJ|AGENCIA|NOME_INSTITUICAO|COD_CONGL|NOME_CONGL|TAXONOMIA|CONTA|NOME_CONTA|SALDO,50257,0,1,175,986,1,202507,True,2026-05-31
202508,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202508BANCOS.csv.zip,974e094eeafee6cfbc64a00280dfbe95f43c66c0f9ef9e2dc02603f83382e658,924160,202508BANCOS.CSV,6230794,cp1252,;,4,3,DATA_BASE|DOCUMENTO|CNPJ|AGENCIA|NOME_INSTITUICAO|COD_CONGL|NOME_CONGL|TAXONOMIA|CONTA|NOME_CONTA|SALDO,50171,0,1,172,981,1,202508,True,2026-05-31
202509,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202509BANCOS.csv.zip,ff36100529530c4ced654100cc0cca3806b4b07de8523e1bb7c9dd534f9d0203,932498,202509BANCOS.CSV,6257291,cp1252,;,4,3,DATA_BASE|DOCUMENTO|CNPJ|AGENCIA|NOME_INSTITUICAO|COD_CONGL|NOME_CONGL|TAXONOMIA|CONTA|NOME_CONTA|SALDO,50363,0,1,171,978,1,202509,True,2026-05-31
202510,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202510BANCOS.csv.zip,8cc1b38a2d4ec9724b9ee47aa9a3375ce9cf4f23c088f5b9e0080a3d0a9f4fb5,931482,202510BANCOS.CSV,6244345,cp1252,;,4,3,DATA_BASE|DOCUMENTO|CNPJ|AGENCIA|NOME_INSTITUICAO|COD_CONGL|NOME_CONGL|TAXONOMIA|CONTA|NOME_CONTA|SALDO,50271,0,1,170,971,1,202510,True,2026-05-31
