period,period_version,is_active,title,source_url,document_date,discovered_at_utc,error
202603,1,True,03/2026,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202603BANCOS.csv.zip,2026-03-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202602,1,True,02/2026,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202602BANCOS.csv.zip,2026-02-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202601,1,True,01/2026,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202601BANCOS.csv.zip,2026-01-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202512,1,False,12/2025,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202512BANCOS.csv.zip,2025-12-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202511,1,True,11/2025,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202511BANCOS.csv.zip,2025-11-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202510,1,True,10/2025,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202510BANCOS.csv.zip,2025-10-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202509,1,True,09/2025,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202509BANCOS.csv.zip,2025-09-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202508,1,True,08/2025,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202508BANCOS.csv.zip,2025-08-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202507,1,True,07/2025,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202507BANCOS.csv.zip,2025-07-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202506,1,True,06/2025,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202506BANCOS.csv.zip,2025-06-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202505,1,True,05/2025,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202505BANCOS.csv.zip,2025-05-01T03:00:00Z,2026-08-10T23:53:12+00:00,
202504,1,True,04/2025,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/202504BANCOS.csv.zip,2025-04-01T03:00:00Z,2026-08-10T23:53:12+00:00,
