freeze_period,freeze_rank,document_code,institution_cnpj,institution_name,taxonomy,realizable_assets_brl,permanent_assets_brl,total_assets_brl,periods_present,component_complete_periods,reference_complete_periods,reference_reconciled_periods,observed_names
202603,1,4010,00000000,BCO DO BRASIL S.A.,BANCO DO BRASIL - BANCO MULTIPLO,2409477025240.00,84597526587.91,2494074551827.91,15,15,15,15,BCO DO BRASIL S.A.
202603,2,4010,00360305,CAIXA ECONOMICA FEDERAL,CAIXA ECONOMICA FEDERAL,2314331876412.94,27091461894.47,2341423338307.41,15,15,15,15,CAIXA ECONOMICA FEDERAL
202603,3,4010,60701190,ITAÚ UNIBANCO S.A.,BANCOS MULTIPLOS,1977786100833.08,186611163549.04,2164397264382.12,15,15,15,15,ITAÚ UNIBANCO S.A.
202603,4,4010,60746948,BCO BRADESCO S.A.,BANCOS MULTIPLOS,1770702036575.05,155605328911.65,1926307365486.70,15,15,14,14,BCO BRADESCO S.A.
202603,5,4010,90400888,BCO SANTANDER (BRASIL) S.A.,BANCOS MULTIPLOS,1108085717450.60,105353973904.74,1213439691355.34,15,15,15,15,BCO SANTANDER (BRASIL) S.A.
202603,6,4010,33657248,BNDES,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO SOCIAL,874633270285.35,118358411557.50,992991681842.85,15,15,15,15,BNDES
202603,7,4010,30306294,BANCO BTG PACTUAL S.A.,BANCOS MULTIPLOS,564922202070.08,92086483407.53,657008685477.61,15,15,15,15,BANCO BTG PACTUAL S.A.
202603,8,4010,60872504,ITAÚ UNIBANCO HOLDING S.A.,BANCOS MULTIPLOS,270566128911.56,201765924280.40,472332053191.96,15,15,15,15,ITAÚ UNIBANCO HOLDING S.A.
202603,9,4010,58160789,BCO SAFRA S.A.,BANCOS MULTIPLOS,257603353273.97,11014901748.53,268618255022.50,15,15,15,15,BCO SAFRA S.A.
202603,10,4010,01181521,BCO COOPERATIVO SICREDI S.A.,BANCOS MULTIPLOS COOPERATIVOS,227659154859.88,300482058.32,227959636918.20,15,15,0,0,BCO COOPERATIVO SICREDI S.A.
202603,11,4010,33264668,BCO XP S.A.,BANCOS MULTIPLOS,207730126020.72,18506682427.36,226236808448.08,15,15,0,0,BCO XP S.A.
202603,12,4010,02038232,BANCO SICOOB S.A.,BANCOS MULTIPLOS COOPERATIVOS,201995363841.80,1798768523.19,203794132364.99,15,15,15,15,BANCO SICOOB S.A.
202603,13,4010,33479023,BCO CITIBANK S.A.,BANCOS MULTIPLOS,168510712750.51,704054826.25,169214767576.76,15,15,15,15,BCO CITIBANK S.A.
202603,14,4010,92702067,BCO DO ESTADO DO RS S.A.,BANCOS MULTIPLOS,158918280419.38,5286396389.00,164204676808.38,15,15,15,15,BCO DO ESTADO DO RS S.A.
202603,15,4010,59588111,BCO VOTORANTIM S.A.,BANCOS MULTIPLOS,137744517768.50,7000144807.96,144744662576.46,15,15,11,11,BCO VOTORANTIM S.A.
