report_period,freeze_rank,institution_cnpj,institution_name,document_code,realizable_assets_brl,permanent_assets_brl,total_assets_brl,source_checksum
202501,1,00000000,BCO DO BRASIL S.A.,4010,2193750999420.50,80721825813.28,2274472825233.78,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479
202501,2,00360305,CAIXA ECONOMICA FEDERAL,4010,2031520115181.88,20759468805.93,2052279583987.81,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479
202501,3,60701190,ITAÚ UNIBANCO S.A.,4010,1742237147931.73,209666614779.26,1951903762710.99,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479
202501,4,60746948,BCO BRADESCO S.A.,4010,1495561441329.43,137606761512.96,1633168202842.39,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479
202501,5,90400888,BCO SANTANDER (BRASIL) S.A.,4010,989966015875.46,119559138875.85,1109525154751.31,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479
202501,6,33657248,BNDES,4010,733838487801.75,96337588322.16,830176076123.91,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479
202501,7,30306294,BANCO BTG PACTUAL S.A.,4010,378641121157.93,73639099107.81,452280220265.74,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479
202501,8,60872504,ITAÚ UNIBANCO HOLDING S.A.,4010,244499254481.00,203899815752.49,448399070233.49,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479
202501,9,58160789,BCO SAFRA S.A.,4010,231275620924.87,12802583864.63,244078204789.50,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479
202501,10,01181521,BCO COOPERATIVO SICREDI S.A.,4010,191717787213.96,265092741.02,191982879954.98,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479
202501,11,33264668,BCO XP S.A.,4010,168437999440.97,16715593697.63,185153593138.60,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479
202501,12,02038232,BANCO SICOOB S.A.,4010,154511458601.26,1456141339.44,155967599940.70,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479
202501,13,33479023,BCO CITIBANK S.A.,4010,176602777349.38,677160738.08,177279938087.46,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479
202501,14,92702067,BCO DO ESTADO DO RS S.A.,4010,141606400441.70,4890435213.25,146496835654.95,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479
202501,15,59588111,BCO VOTORANTIM S.A.,4010,127445509071.78,7060562362.40,134506071434.18,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479
202502,1,00000000,BCO DO BRASIL S.A.,4010,2206500672759.48,82617090248.54,2289117763008.02,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d
202502,2,00360305,CAIXA ECONOMICA FEDERAL,4010,2034367573994.58,21391251181.10,2055758825175.68,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d
202502,3,60701190,ITAÚ UNIBANCO S.A.,4010,1741274448904.84,207631020689.99,1948905469594.83,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d
202502,4,60746948,BCO BRADESCO S.A.,4010,1488319221446.54,139785002906.79,1628104224353.33,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d
202502,5,90400888,BCO SANTANDER (BRASIL) S.A.,4010,1014563899167.14,120732666189.05,1135296565356.19,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d
202502,6,33657248,BNDES,4010,743960453308.59,95438424063.84,839398877372.43,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d
202502,7,30306294,BANCO BTG PACTUAL S.A.,4010,371039849792.73,74730304565.12,445770154357.85,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d
202502,8,60872504,ITAÚ UNIBANCO HOLDING S.A.,4010,258111841809.78,197899248156.82,456011089966.60,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d
202502,9,58160789,BCO SAFRA S.A.,4010,221759023073.64,13117442535.24,234876465608.88,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d
202502,10,01181521,BCO COOPERATIVO SICREDI S.A.,4010,201086903975.54,265642783.13,201352546758.67,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d
202502,11,33264668,BCO XP S.A.,4010,179454533341.10,16708418592.75,196162951933.85,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d
202502,12,02038232,BANCO SICOOB S.A.,4010,158555007605.79,1490283426.89,160045291032.68,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d
202502,13,33479023,BCO CITIBANK S.A.,4010,183236393517.44,697041541.97,183933435059.41,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d
202502,14,92702067,BCO DO ESTADO DO RS S.A.,4010,143536604784.41,4928837934.50,148465442718.91,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d
202502,15,59588111,BCO VOTORANTIM S.A.,4010,135875026177.42,7065693340.22,142940719517.64,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d
