period,source_checksum,document_4010_institutions,document_4016_institutions,realizable_assets_present,permanent_assets_present,reference_total_present,reference_reconciled,reference_outliers,max_abs_reference_difference_brl,summed_total_assets_brl
202501,167bcf1231df1601314f6a3a669a5b548a872f383d067e52b47bdfb6a0322479,174,0,174,161,118,116,2,46876238.92,14276615614749.32
202502,0bb9539164f50976d5f4396d1ed586b2cbe2d7b0a75d18a1f7a278444787340d,174,0,174,161,119,117,2,171000000000.00,14357085639912.17
202503,489ce381f2313fdda5e849eb05bf362a18ae6cf7698e855a36396c76a3f3e444,174,0,174,161,120,119,1,41986411.64,14473847569078.82
202504,a90f3cee41713ec1aa6dde69e9cadb106226ca1aa940d839f73e8dc17fd4d1a1,175,0,175,162,121,120,1,17553074.86,14564773845546.05
202505,ddff153357d66cad7f1fe2292b1c2bf3ce6e5330b12b37242b7ef3c5ecee9494,175,0,175,162,124,122,2,15465097.09,14661296973883.85
202506,8e19913e741e6805e716b312f57ec772dc822b58f624b08f5423aa992e5c2614,176,175,176,163,125,124,1,15497806.20,14805311371110.85
202507,d6c4b063a940d729600d3d71fe4be502e63543fc798195102c2de8ec23350106,175,0,175,162,124,123,1,15578376.27,14905867465619.77
202508,974e094eeafee6cfbc64a00280dfbe95f43c66c0f9ef9e2dc02603f83382e658,172,0,172,160,122,121,1,15565235.93,14937368624017.42
202509,ff36100529530c4ced654100cc0cca3806b4b07de8523e1bb7c9dd534f9d0203,171,0,171,159,123,121,2,15426677.64,15207143130312.82
202510,8cc1b38a2d4ec9724b9ee47aa9a3375ce9cf4f23c088f5b9e0080a3d0a9f4fb5,170,0,170,158,122,121,1,1945488.33,15180456057767.05
202511,7d9b416436fcd7b02ad8ec8961c31a5276930d62033cc1d607d14d247e319709,171,0,171,159,123,123,0,0.51,15431460455203.64
202512,fd2af0b45df3928f84ea7510b7a4453c22eea936e502b7b0b6b04e6088369641,171,170,171,159,124,124,0,0.08,15463029281839.86
202601,d99a014547ae7a433e11bb01c2c2c5236394328e9ddfc23b7edf28608723828d,171,0,171,159,124,120,4,642912176.74,15632031411811.09
202602,42b895b9ac76dbd855a5ad8e93909bcf6594a318620de0e3c35e1d0f6e580958,170,0,170,158,123,121,2,15831079.80,15578134529352.77
202603,7182290443ade7d8de26c8e0522ac2ae946a754f88065037725421b32441571d,170,0,170,158,122,122,0,0.10,16074608521307.19
