freeze_period,freeze_rank,institution_cnpj,institution_name,taxonomy
202603,1,00000000,BCO DO BRASIL S.A.,BANCO DO BRASIL - BANCO MULTIPLO
202603,2,00360305,CAIXA ECONOMICA FEDERAL,CAIXA ECONOMICA FEDERAL
202603,3,60701190,ITAÚ UNIBANCO S.A.,BANCOS MULTIPLOS
202603,4,60746948,BCO BRADESCO S.A.,BANCOS MULTIPLOS
202603,5,90400888,BCO SANTANDER (BRASIL) S.A.,BANCOS MULTIPLOS
202603,6,33657248,BNDES,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO SOCIAL
202603,7,30306294,BANCO BTG PACTUAL S.A.,BANCOS MULTIPLOS
202603,8,60872504,ITAÚ UNIBANCO HOLDING S.A.,BANCOS MULTIPLOS
202603,9,58160789,BCO SAFRA S.A.,BANCOS MULTIPLOS
202603,10,01181521,BCO COOPERATIVO SICREDI S.A.,BANCOS MULTIPLOS COOPERATIVOS
202603,11,33264668,BCO XP S.A.,BANCOS MULTIPLOS
202603,12,02038232,BANCO SICOOB S.A.,BANCOS MULTIPLOS COOPERATIVOS
202603,13,33479023,BCO CITIBANK S.A.,BANCOS MULTIPLOS
202603,14,92702067,BCO DO ESTADO DO RS S.A.,BANCOS MULTIPLOS
202603,15,59588111,BCO VOTORANTIM S.A.,BANCOS MULTIPLOS
