source_period,documento,cnpj,agencia,nome_instituicao,cod_congl,nome_congl,taxonomia,conta,nome_conta,saldo_raw,source_url,source_checksum,source_generated_at,retrieved_at_utc,file_row_number
202501,4010,00000001,,BANCO ALFA FIXTURE,,,BANCO,1000000009,Ativo Realizável,"900,00",fixture://cosif/202501,fixture-cosif-202501,2025-02-15,2026-08-11T00:00:00+00:00,1
202501,4010,00000001,,BANCO ALFA FIXTURE,,,BANCO,2000000008,Ativo Permanente,"100,00",fixture://cosif/202501,fixture-cosif-202501,2025-02-15,2026-08-11T00:00:00+00:00,2
202501,4010,00000001,,BANCO ALFA FIXTURE,,,BANCO,3000000007,Compensação Ativa,"50,00",fixture://cosif/202501,fixture-cosif-202501,2025-02-15,2026-08-11T00:00:00+00:00,3
202501,4010,00000001,,BANCO ALFA FIXTURE,,,BANCO,3999999009,Total Geral do Ativo,"1050,00",fixture://cosif/202501,fixture-cosif-202501,2025-02-15,2026-08-11T00:00:00+00:00,4
202501,4010,00000002,,BANCO BETA FIXTURE,,,BANCO,1000000009,Ativo Realizável,"720,00",fixture://cosif/202501,fixture-cosif-202501,2025-02-15,2026-08-11T00:00:00+00:00,5
202501,4010,00000002,,BANCO BETA FIXTURE,,,BANCO,2000000008,Ativo Permanente,"80,00",fixture://cosif/202501,fixture-cosif-202501,2025-02-15,2026-08-11T00:00:00+00:00,6
202501,4010,00000002,,BANCO BETA FIXTURE,,,BANCO,3000000007,Compensação Ativa,"40,00",fixture://cosif/202501,fixture-cosif-202501,2025-02-15,2026-08-11T00:00:00+00:00,7
202501,4010,00000002,,BANCO BETA FIXTURE,,,BANCO,3999999009,Total Geral do Ativo,"840,00",fixture://cosif/202501,fixture-cosif-202501,2025-02-15,2026-08-11T00:00:00+00:00,8
202501,4010,00000003,,BANCO GAMA FIXTURE,,,BANCO,1000000009,Ativo Realizável,"540,00",fixture://cosif/202501,fixture-cosif-202501,2025-02-15,2026-08-11T00:00:00+00:00,9
202501,4010,00000003,,BANCO GAMA FIXTURE,,,BANCO,2000000008,Ativo Permanente,"60,00",fixture://cosif/202501,fixture-cosif-202501,2025-02-15,2026-08-11T00:00:00+00:00,10
202501,4010,00000003,,BANCO GAMA FIXTURE,,,BANCO,3000000007,Compensação Ativa,"30,00",fixture://cosif/202501,fixture-cosif-202501,2025-02-15,2026-08-11T00:00:00+00:00,11
202501,4010,00000003,,BANCO GAMA FIXTURE,,,BANCO,3999999009,Total Geral do Ativo,"630,00",fixture://cosif/202501,fixture-cosif-202501,2025-02-15,2026-08-11T00:00:00+00:00,12
202502,4010,00000001,,BANCO ALFA FIXTURE,,,BANCO,1000000009,Ativo Realizável,"945,00",fixture://cosif/202502,fixture-cosif-202502,2025-03-15,2026-08-11T00:00:00+00:00,1
202502,4010,00000001,,BANCO ALFA FIXTURE,,,BANCO,2000000008,Ativo Permanente,"105,00",fixture://cosif/202502,fixture-cosif-202502,2025-03-15,2026-08-11T00:00:00+00:00,2
202502,4010,00000001,,BANCO ALFA FIXTURE,,,BANCO,3000000007,Compensação Ativa,"52,50",fixture://cosif/202502,fixture-cosif-202502,2025-03-15,2026-08-11T00:00:00+00:00,3
202502,4010,00000001,,BANCO ALFA FIXTURE,,,BANCO,3999999009,Total Geral do Ativo,"1102,50",fixture://cosif/202502,fixture-cosif-202502,2025-03-15,2026-08-11T00:00:00+00:00,4
202502,4010,00000002,,BANCO BETA FIXTURE,,,BANCO,1000000009,Ativo Realizável,"705,00",fixture://cosif/202502,fixture-cosif-202502,2025-03-15,2026-08-11T00:00:00+00:00,5
202502,4010,00000002,,BANCO BETA FIXTURE,,,BANCO,2000000008,Ativo Permanente,"80,00",fixture://cosif/202502,fixture-cosif-202502,2025-03-15,2026-08-11T00:00:00+00:00,6
202502,4010,00000002,,BANCO BETA FIXTURE,,,BANCO,3000000007,Compensação Ativa,"40,00",fixture://cosif/202502,fixture-cosif-202502,2025-03-15,2026-08-11T00:00:00+00:00,7
202502,4010,00000002,,BANCO BETA FIXTURE,,,BANCO,3999999009,Total Geral do Ativo,"825,00",fixture://cosif/202502,fixture-cosif-202502,2025-03-15,2026-08-11T00:00:00+00:00,8
202502,4010,00000003,,BANCO GAMA FIXTURE,,,BANCO,1000000009,Ativo Realizável,"570,00",fixture://cosif/202502,fixture-cosif-202502,2025-03-15,2026-08-11T00:00:00+00:00,9
202502,4010,00000003,,BANCO GAMA FIXTURE,,,BANCO,2000000008,Ativo Permanente,"65,00",fixture://cosif/202502,fixture-cosif-202502,2025-03-15,2026-08-11T00:00:00+00:00,10
202502,4010,00000003,,BANCO GAMA FIXTURE,,,BANCO,3000000007,Compensação Ativa,"30,00",fixture://cosif/202502,fixture-cosif-202502,2025-03-15,2026-08-11T00:00:00+00:00,11
202502,4010,00000003,,BANCO GAMA FIXTURE,,,BANCO,3999999009,Total Geral do Ativo,"665,00",fixture://cosif/202502,fixture-cosif-202502,2025-03-15,2026-08-11T00:00:00+00:00,12
